A̱os,January,February,March,April,May,June,July,August,September,October,November,December
2010,7213,6658,8192,7425,8245,8499,9172,9566,9437,8392,7615,7764
2011,7732,6577,7170,7213,8328,8584,9052,9280,8255,7395,7882,7637
2012,7966,6962,7409,7719,8369,8626,10148,9491,8137,8913,7688,7741
2013,8114,7035,7170,8068,8528,8385,10268,9145,8575,8826,7856,8316
2014,8180,6897,7571,8232,8312,9592,10878,8843,9034,8359,7905,8449
2015,7931,7378,8028,8030,8304,9386,10073,9668,9221,8356,8778,8557
2016,8070,7827,7860,7961,8913,9405,10329,10171,9286,8195,8404,7969
2017,8775,7473,7843,7818,9449,10853,10445,9821,9102,9045,8097,8156
2018,8402,7429,7902,8561,8880,9814,10647,10631,8865,9374,8394,8387
2019,8501,7766,7832,8921,9765,9945,11139,9781,9677,9212,8590,8708
2020,9172,7678,8794,8951,11201,6580,0,0,0,0,0,0
